symbol,name,market,display_symbol,coingecko_id,raw_symbol,bucket
CG:01coin,01coin,crypto,CG:01coin,01coin,ZOC,micro_alt
CG:02-token,O2 Token,crypto,CG:02-token,02-token,O2T,micro_alt
CG:0cash,0cash,crypto,CG:0cash,0cash,ZCH,micro_alt
CG:0chain,0chain,crypto,CG:0chain,0chain,ZCN,micro_alt
CG:0x,0x,crypto,CG:0x,0x,ZRX,micro_alt
CG:0xcert,0xcert,crypto,CG:0xcert,0xcert,ZXC,micro_alt
CG:0xdark,0xDark,crypto,CG:0xdark,0xdark,OXD,micro_alt
CG:0xeth-cash,0xETH Cash,crypto,CG:0xeth-cash,0xeth-cash,0XECH,micro_alt
CG:0xeth-classic,0xETH Classic,crypto,CG:0xeth-classic,0xeth-classic,0XETC,micro_alt
CG:0xeth-sv,0xETH SV,crypto,CG:0xeth-sv,0xeth-sv,0XESV,micro_alt
CG:0xethereum-token,0xEthereum Token,crypto,CG:0xethereum-token,0xethereum-token,0XETH,majors
CG:0xmaker-token,0xMaker Token,crypto,CG:0xmaker-token,0xmaker-token,0XMKR,defi
CG:0xmonero,0xMonero,crypto,CG:0xmonero,0xmonero,0XMR,micro_alt
CG:0xzar,0xZAR,crypto,CG:0xzar,0xzar,XZAR,micro_alt
CG:100-waves-eth-btc-set,100 Waves ETH/BTC Set,crypto,CG:100-waves-eth-btc-set,100-waves-eth-btc-set,100WRATIO,micro_alt
CG:100-waves-eth-usd-yield-set,100 Waves ETH/USD Yield Set,crypto,CG:100-waves-eth-usd-yield-set,100-waves-eth-usd-yield-set,100W,micro_alt
CG:10m-token,10M Token,crypto,CG:10m-token,10m-token,10MT,micro_alt
CG:10x-long-algorand-token,10X Long Algorand Token,crypto,CG:10x-long-algorand-token,10x-long-algorand-token,ALGOMOON,micro_alt
CG:10x-long-altcoin-index-token,10X Long Altcoin Index Token,crypto,CG:10x-long-altcoin-index-token,10x-long-altcoin-index-token,ALTMOON,micro_alt
CG:10x-long-bitcoin-cash-token,10X Long Bitcoin Cash Token,crypto,CG:10x-long-bitcoin-cash-token,10x-long-bitcoin-cash-token,BCHMOON,micro_alt
CG:10x-long-bitcoin-sv-token,10X Long Bitcoin SV Token,crypto,CG:10x-long-bitcoin-sv-token,10x-long-bitcoin-sv-token,BSVMOON,micro_alt
CG:10x-long-bitcoin-token,10X Long Bitcoin Token,crypto,CG:10x-long-bitcoin-token,10x-long-bitcoin-token,MOON,micro_alt
CG:10x-long-bnb-token,10X Long BNB Token,crypto,CG:10x-long-bnb-token,10x-long-bnb-token,BNBMOON,micro_alt
CG:10x-long-eos-token,10X Long EOS Token,crypto,CG:10x-long-eos-token,10x-long-eos-token,EOSMOON,micro_alt
CG:10x-long-ethereum-classic-token,10X Long Ethereum Classic Token,crypto,CG:10x-long-ethereum-classic-token,10x-long-ethereum-classic-token,ETCMOON,micro_alt
CG:10x-long-ethereum-token,10X Long Ethereum Token,crypto,CG:10x-long-ethereum-token,10x-long-ethereum-token,ETHMOON,micro_alt
CG:10x-long-exchange-token-index-token,10X Long Exchange Token Index Token,crypto,CG:10x-long-exchange-token-index-token,10x-long-exchange-token-index-token,EXCHMOON,micro_alt
CG:10x-long-huobi-token-token,10X Long Huobi Token Token,crypto,CG:10x-long-huobi-token-token,10x-long-huobi-token-token,HTMOON,micro_alt
CG:10x-long-leo-token,10X Long LEO Token,crypto,CG:10x-long-leo-token,10x-long-leo-token,LEOMOON,micro_alt
CG:10x-long-litecoin-token,10X Long Litecoin Token,crypto,CG:10x-long-litecoin-token,10x-long-litecoin-token,LTCMOON,micro_alt
CG:10x-long-midcap-index-token,10X Long Midcap Index Token,crypto,CG:10x-long-midcap-index-token,10x-long-midcap-index-token,MIDMOON,micro_alt
CG:10x-long-okb-token,10X Long OKB Token,crypto,CG:10x-long-okb-token,10x-long-okb-token,OKBMOON,micro_alt
CG:10x-long-shitcoin-index-token,10X Long Shitcoin Index Token,crypto,CG:10x-long-shitcoin-index-token,10x-long-shitcoin-index-token,MOONSHIT,micro_alt
CG:10x-long-trx-token,10X Long TRX Token,crypto,CG:10x-long-trx-token,10x-long-trx-token,TRXMOON,micro_alt
CG:10x-long-xrp-token,10X Long XRP Token,crypto,CG:10x-long-xrp-token,10x-long-xrp-token,XRPMOON,micro_alt
CG:10x-short-algorand-token,10X Short Algorand Token,crypto,CG:10x-short-algorand-token,10x-short-algorand-token,ALGODOOM,micro_alt
